store_id,timestamp,active_riders,orders_in_queue,avg_rider_wait_time
1,2024-01-01 00:00:00,11,0,1.01
2,2024-01-01 00:00:00,6,3,1.5
3,2024-01-01 00:00:00,6,3,0.74
4,2024-01-01 00:00:00,11,2,0.8
5,2024-01-01 00:00:00,9,1,0.67
6,2024-01-01 00:00:00,6,1,0.98
7,2024-01-01 00:00:00,5,0,1.27
8,2024-01-01 00:00:00,10,0,1.35
9,2024-01-01 00:00:00,14,0,0.52
10,2024-01-01 00:00:00,8,1,0.78
11,2024-01-01 00:00:00,8,1,1.14
12,2024-01-01 00:00:00,4,3,1.08
1,2024-01-01 00:15:00,10,0,0.73
2,2024-01-01 00:15:00,9,2,0.91
3,2024-01-01 00:15:00,5,3,0.79
4,2024-01-01 00:15:00,13,0,0.6
5,2024-01-01 00:15:00,6,3,0.84
6,2024-01-01 00:15:00,7,0,1.33
7,2024-01-01 00:15:00,3,3,0.81
8,2024-01-01 00:15:00,10,3,1.33
9,2024-01-01 00:15:00,11,0,1.36
10,2024-01-01 00:15:00,9,1,0.58
11,2024-01-01 00:15:00,6,1,0.52
12,2024-01-01 00:15:00,4,3,0.85
1,2024-01-01 00:30:00,12,3,1.31
2,2024-01-01 00:30:00,10,2,0.6
3,2024-01-01 00:30:00,4,2,0.6
4,2024-01-01 00:30:00,11,3,1.23
5,2024-01-01 00:30:00,8,3,0.95
6,2024-01-01 00:30:00,6,1,0.92
7,2024-01-01 00:30:00,4,1,0.89
8,2024-01-01 00:30:00,10,1,0.72
9,2024-01-01 00:30:00,13,3,0.74
10,2024-01-01 00:30:00,10,2,0.52
11,2024-01-01 00:30:00,9,0,1.03
12,2024-01-01 00:30:00,4,1,1.29
1,2024-01-01 00:45:00,13,0,1.25
2,2024-01-01 00:45:00,7,0,0.63
3,2024-01-01 00:45:00,6,0,1.29
4,2024-01-01 00:45:00,13,0,1.48
5,2024-01-01 00:45:00,10,3,0.95
6,2024-01-01 00:45:00,10,0,1.03
7,2024-01-01 00:45:00,7,0,0.67
8,2024-01-01 00:45:00,7,2,1.02
9,2024-01-01 00:45:00,13,0,1.08
10,2024-01-01 00:45:00,7,0,1.3
11,2024-01-01 00:45:00,8,1,1.0
12,2024-01-01 00:45:00,3,2,0.71
1,2024-01-01 01:00:00,10,1,1.35
2,2024-01-01 01:00:00,9,3,1.01
3,2024-01-01 01:00:00,5,2,1.15
4,2024-01-01 01:00:00,11,2,1.43
5,2024-01-01 01:00:00,6,2,1.38
6,2024-01-01 01:00:00,7,1,1.02
7,2024-01-01 01:00:00,7,0,0.81
8,2024-01-01 01:00:00,8,1,1.29
9,2024-01-01 01:00:00,14,2,0.68
10,2024-01-01 01:00:00,7,2,1.21
11,2024-01-01 01:00:00,6,3,1.19
12,2024-01-01 01:00:00,3,2,1.29
1,2024-01-01 01:15:00,12,2,1.24
2,2024-01-01 01:15:00,8,1,0.61
3,2024-01-01 01:15:00,5,1,0.83
4,2024-01-01 01:15:00,14,3,0.96
5,2024-01-01 01:15:00,8,0,0.59
6,2024-01-01 01:15:00,9,3,0.63
7,2024-01-01 01:15:00,5,0,0.53
8,2024-01-01 01:15:00,6,2,0.67
9,2024-01-01 01:15:00,10,0,0.67
10,2024-01-01 01:15:00,10,1,0.55
11,2024-01-01 01:15:00,7,3,0.61
12,2024-01-01 01:15:00,7,0,1.42
1,2024-01-01 01:30:00,12,2,0.86
2,2024-01-01 01:30:00,7,2,1.13
3,2024-01-01 01:30:00,3,3,1.08
4,2024-01-01 01:30:00,13,3,0.72
5,2024-01-01 01:30:00,6,0,0.54
6,2024-01-01 01:30:00,10,1,0.85
7,2024-01-01 01:30:00,4,2,1.36
8,2024-01-01 01:30:00,6,0,1.43
9,2024-01-01 01:30:00,13,3,0.75
10,2024-01-01 01:30:00,8,2,1.42
11,2024-01-01 01:30:00,10,3,1.18
12,2024-01-01 01:30:00,5,1,0.73
1,2024-01-01 01:45:00,14,3,1.08
2,2024-01-01 01:45:00,6,3,1.43
3,2024-01-01 01:45:00,4,3,1.38
4,2024-01-01 01:45:00,10,2,0.71
5,2024-01-01 01:45:00,6,3,1.44
6,2024-01-01 01:45:00,8,1,1.11
7,2024-01-01 01:45:00,6,0,0.85
8,2024-01-01 01:45:00,7,3,0.9
9,2024-01-01 01:45:00,14,3,1.24
10,2024-01-01 01:45:00,6,1,1.31
11,2024-01-01 01:45:00,10,2,1.48
12,2024-01-01 01:45:00,7,1,0.99
1,2024-01-01 02:00:00,12,0,0.81
2,2024-01-01 02:00:00,7,1,0.72
3,2024-01-01 02:00:00,6,2,0.63
4,2024-01-01 02:00:00,12,3,1.18
5,2024-01-01 02:00:00,9,3,0.57
6,2024-01-01 02:00:00,6,0,0.6
7,2024-01-01 02:00:00,3,2,0.96
8,2024-01-01 02:00:00,9,2,0.99
9,2024-01-01 02:00:00,14,3,0.85
10,2024-01-01 02:00:00,8,0,1.49
11,2024-01-01 02:00:00,6,3,0.66
12,2024-01-01 02:00:00,4,0,0.71
1,2024-01-01 02:15:00,14,0,0.94
2,2024-01-01 02:15:00,6,1,1.49
3,2024-01-01 02:15:00,5,2,0.73
4,2024-01-01 02:15:00,14,3,0.61
5,2024-01-01 02:15:00,7,1,1.26
6,2024-01-01 02:15:00,6,0,0.7
7,2024-01-01 02:15:00,4,1,0.65
8,2024-01-01 02:15:00,10,1,1.07
9,2024-01-01 02:15:00,14,0,0.64
10,2024-01-01 02:15:00,9,1,1.43
11,2024-01-01 02:15:00,9,2,0.54
12,2024-01-01 02:15:00,7,3,0.52
1,2024-01-01 02:30:00,14,2,1.36
2,2024-01-01 02:30:00,8,3,1.08
3,2024-01-01 02:30:00,7,0,1.41
4,2024-01-01 02:30:00,11,0,0.88
5,2024-01-01 02:30:00,8,3,1.49
6,2024-01-01 02:30:00,7,2,0.68
7,2024-01-01 02:30:00,6,2,0.64
8,2024-01-01 02:30:00,6,2,0.52
9,2024-01-01 02:30:00,10,1,0.82
10,2024-01-01 02:30:00,10,2,1.13
11,2024-01-01 02:30:00,6,0,0.7
12,2024-01-01 02:30:00,3,2,1.31
1,2024-01-01 02:45:00,11,3,0.54
2,2024-01-01 02:45:00,8,1,1.34
3,2024-01-01 02:45:00,3,0,0.56
4,2024-01-01 02:45:00,13,2,1.05
5,2024-01-01 02:45:00,6,2,0.59
6,2024-01-01 02:45:00,9,2,0.96
7,2024-01-01 02:45:00,3,2,0.72
8,2024-01-01 02:45:00,9,1,0.83
9,2024-01-01 02:45:00,13,3,0.7
10,2024-01-01 02:45:00,6,0,0.51
11,2024-01-01 02:45:00,6,0,1.33
12,2024-01-01 02:45:00,6,1,1.12
1,2024-01-01 03:00:00,14,3,0.55
2,2024-01-01 03:00:00,10,1,0.74
3,2024-01-01 03:00:00,6,2,1.15
4,2024-01-01 03:00:00,12,2,0.91
5,2024-01-01 03:00:00,10,3,0.9
6,2024-01-01 03:00:00,6,3,0.56
7,2024-01-01 03:00:00,7,2,0.53
8,2024-01-01 03:00:00,6,0,1.47
9,2024-01-01 03:00:00,13,3,1.27
10,2024-01-01 03:00:00,9,3,0.77
11,2024-01-01 03:00:00,8,2,1.34
12,2024-01-01 03:00:00,6,1,1.36
1,2024-01-01 03:15:00,13,3,1.12
2,2024-01-01 03:15:00,7,1,0.59
3,2024-01-01 03:15:00,7,3,0.85
4,2024-01-01 03:15:00,12,1,1.42
5,2024-01-01 03:15:00,10,2,0.83
6,2024-01-01 03:15:00,9,2,1.46
7,2024-01-01 03:15:00,4,1,1.47
8,2024-01-01 03:15:00,7,0,0.65
9,2024-01-01 03:15:00,11,2,0.79
10,2024-01-01 03:15:00,9,1,1.11
11,2024-01-01 03:15:00,10,2,0.69
12,2024-01-01 03:15:00,3,2,0.76
1,2024-01-01 03:30:00,13,3,0.79
2,2024-01-01 03:30:00,10,3,1.01
3,2024-01-01 03:30:00,6,0,1.09
4,2024-01-01 03:30:00,14,2,0.92
5,2024-01-01 03:30:00,9,2,1.47
6,2024-01-01 03:30:00,9,0,1.21
7,2024-01-01 03:30:00,3,2,0.75
8,2024-01-01 03:30:00,10,0,0.93
9,2024-01-01 03:30:00,14,2,1.23
10,2024-01-01 03:30:00,7,0,1.03
11,2024-01-01 03:30:00,7,2,0.65
12,2024-01-01 03:30:00,5,0,1.33
1,2024-01-01 03:45:00,10,0,1.4
2,2024-01-01 03:45:00,8,2,1.18
3,2024-01-01 03:45:00,3,0,0.72
4,2024-01-01 03:45:00,11,0,0.61
5,2024-01-01 03:45:00,8,3,1.19
6,2024-01-01 03:45:00,9,0,1.44
7,2024-01-01 03:45:00,4,2,1.21
8,2024-01-01 03:45:00,7,2,0.53
9,2024-01-01 03:45:00,12,1,1.02
10,2024-01-01 03:45:00,10,2,0.93
11,2024-01-01 03:45:00,10,2,0.6
12,2024-01-01 03:45:00,3,2,1.48
1,2024-01-01 04:00:00,13,3,1.0
2,2024-01-01 04:00:00,8,2,1.4
3,2024-01-01 04:00:00,4,2,0.81
4,2024-01-01 04:00:00,11,2,1.34
5,2024-01-01 04:00:00,8,1,0.55
6,2024-01-01 04:00:00,9,0,0.83
7,2024-01-01 04:00:00,3,1,0.63
8,2024-01-01 04:00:00,6,0,1.01
9,2024-01-01 04:00:00,10,3,1.25
10,2024-01-01 04:00:00,7,3,1.23
11,2024-01-01 04:00:00,6,2,1.07
12,2024-01-01 04:00:00,4,1,1.25
1,2024-01-01 04:15:00,11,2,1.33
2,2024-01-01 04:15:00,6,3,0.63
3,2024-01-01 04:15:00,5,0,0.98
4,2024-01-01 04:15:00,11,2,1.46
5,2024-01-01 04:15:00,9,0,1.18
6,2024-01-01 04:15:00,10,1,1.2
7,2024-01-01 04:15:00,4,2,1.45
8,2024-01-01 04:15:00,7,1,0.67
9,2024-01-01 04:15:00,10,0,0.99
10,2024-01-01 04:15:00,6,3,0.85
11,2024-01-01 04:15:00,6,2,1.31
12,2024-01-01 04:15:00,6,2,1.49
1,2024-01-01 04:30:00,14,1,0.72
2,2024-01-01 04:30:00,9,3,0.95
3,2024-01-01 04:30:00,7,0,1.04
4,2024-01-01 04:30:00,10,0,1.43
5,2024-01-01 04:30:00,6,3,0.68
6,2024-01-01 04:30:00,6,2,0.66
7,2024-01-01 04:30:00,5,0,1.16
8,2024-01-01 04:30:00,10,0,1.45
9,2024-01-01 04:30:00,14,0,1.35
10,2024-01-01 04:30:00,8,3,0.61
11,2024-01-01 04:30:00,9,2,1.1
12,2024-01-01 04:30:00,6,0,1.09
1,2024-01-01 04:45:00,14,1,1.0
2,2024-01-01 04:45:00,8,1,0.7
3,2024-01-01 04:45:00,7,1,1.24
4,2024-01-01 04:45:00,12,3,0.6
5,2024-01-01 04:45:00,8,3,1.21
6,2024-01-01 04:45:00,6,0,0.91
7,2024-01-01 04:45:00,3,0,1.11
8,2024-01-01 04:45:00,9,3,1.26
9,2024-01-01 04:45:00,14,3,0.67
10,2024-01-01 04:45:00,7,0,0.79
11,2024-01-01 04:45:00,9,2,0.83
12,2024-01-01 04:45:00,4,1,1.18
1,2024-01-01 05:00:00,13,3,0.8
2,2024-01-01 05:00:00,8,2,1.48
3,2024-01-01 05:00:00,3,1,0.81
4,2024-01-01 05:00:00,10,0,1.45
5,2024-01-01 05:00:00,7,2,0.99
6,2024-01-01 05:00:00,9,0,0.59
7,2024-01-01 05:00:00,6,2,0.88
8,2024-01-01 05:00:00,8,1,0.54
9,2024-01-01 05:00:00,12,3,0.86
10,2024-01-01 05:00:00,7,3,0.9
11,2024-01-01 05:00:00,8,1,0.51
12,2024-01-01 05:00:00,5,3,0.71
1,2024-01-01 05:15:00,14,0,1.03
